x	y	class	solver	efm
1	-8.649624169801248	Markov	Markov	1
2	-8.394631731643317	Markov	Markov	47
3	-7.6412955051071325	Markov	Markov	52
4	-7.3513473614984886	Markov	Markov	42
5	-7.096354923340558	Markov	Markov	3
6	-6.968130984898161	Markov	Markov	20
7	-6.5674580171743795	Markov	Markov	43
8	-6.357574591270388	Markov	Markov	21
9	-6.343018696804374	Markov	Markov	54
10	-6.312465579016449	Markov	Markov	48
11	-6.102582153112457	Markov	Markov	28
12	-5.9352490530311455	Markov	Markov	33
13	-5.801218669123606	Markov	Markov	8
14	-5.559129352480265	Markov	Markov	35
15	-5.531735184631701	Markov	Markov	13
16	-5.349245926576273	Markov	Markov	50
17	-5.269181208871621	Markov	Markov	49
18	-5.05929778296763	Markov	Markov	27
19	-5.01418877071369	Markov	Markov	32
20	-4.946621913273195	Markov	Markov	40
21	-4.885964832271292	Markov	Markov	18
22	-4.804305344809698	Markov	Markov	30
23	-4.735128781661252	Markov	Markov	22
24	-4.691629475115264	Markov	Markov	25
25	-4.6760814063673015	Markov	Markov	23
26	-4.521920939615009	Markov	Markov	53
27	-4.266928501457078	Markov	Markov	45
28	-4.2608525441775065	Markov	Markov	36
29	-4.145772657366387	Markov	Markov	41
30	-4.050969118273516	Markov	Markov	51
31	-4.033180870576327	Markov	Markov	26
32	-3.6431994745002867	Markov	Markov	5
33	-3.513592274920894	Markov	Markov	44
34	-3.4861981070723305	Markov	Markov	14
35	-3.345307595652568	Markov	Markov	16
36	-3.2236441313122506	Markov	Markov	31
37	-2.968651693154319	Markov	Markov	38
38	-2.901084835713825	Markov	Markov	24
39	-2.8404277547119223	Markov	Markov	15
40	-2.6895917041018818	Markov	Markov	34
41	-2.6460923975558934	Markov	Markov	9
42	-2.2479346977996677	Markov	Markov	17
43	-2.215315466618136	Markov	Markov	46
44	-2.1002355798070163	Markov	Markov	19
45	-1.9876437930169564	Markov	Markov	11
46	-1.9067639324967327	Markov	Markov	7
47	-1.8527374239250032	Markov	Markov	37
48	-1.590986550278611	Markov	Markov	10
49	-1.5356541486127921	Markov	Markov	39
50	-1.5294631375670122	Markov	Markov	6
51	-1.2926660355349775	Markov	Markov	55
52	-1.2649280759790116	Markov	Markov	2
53	-1.2007128202740358	Markov	Markov	4
54	-1.031069102807122	Markov	Markov	12
55	-0.23109350192765707	Markov	Markov	29
1	-7.477680093882272	L2_norm	COSMO	1
2	-7.496216946792288	L2_norm	COSMO	47
3	-7.941703601976533	L2_norm	COSMO	52
4	-7.852388448731026	L2_norm	COSMO	42
5	-8.108173454752821	L2_norm	COSMO	3
6	-7.775351017749375	L2_norm	COSMO	20
7	-8.878056113534935	L2_norm	COSMO	43
8	-7.645216071304677	L2_norm	COSMO	21
9	-7.741209795267599	L2_norm	COSMO	54
10	-900.0	L2_norm	COSMO	48
11	-7.672760643138976	L2_norm	COSMO	28
12	-5.475247024577182	L2_norm	COSMO	33
13	-900.0	L2_norm	COSMO	8
14	-900.0	L2_norm	COSMO	35
15	-900.0	L2_norm	COSMO	13
16	-8.116801387922177	L2_norm	COSMO	50
17	-900.0	L2_norm	COSMO	49
18	-8.219779980215408	L2_norm	COSMO	27
19	-900.0	L2_norm	COSMO	32
20	-900.0	L2_norm	COSMO	40
21	-900.0	L2_norm	COSMO	18
22	-8.332731856898565	L2_norm	COSMO	30
23	-900.0	L2_norm	COSMO	22
24	-900.0	L2_norm	COSMO	25
25	-7.995740346160138	L2_norm	COSMO	23
26	-7.966354189371355	L2_norm	COSMO	53
27	-7.948165197730684	L2_norm	COSMO	45
28	-900.0	L2_norm	COSMO	36
29	-900.0	L2_norm	COSMO	41
30	-3.8524860146404594	L2_norm	COSMO	51
31	-3.515980779072839	L2_norm	COSMO	26
32	-3.648121640795545	L2_norm	COSMO	5
33	-3.3990833186788807	L2_norm	COSMO	44
34	-3.4829174495773234	L2_norm	COSMO	14
35	-3.346071603638801	L2_norm	COSMO	16
36	-3.286768085013954	L2_norm	COSMO	31
37	-2.8933856139009335	L2_norm	COSMO	38
38	-2.8571040299662847	L2_norm	COSMO	24
39	-2.831076002974785	L2_norm	COSMO	15
40	-2.6864065552039564	L2_norm	COSMO	34
41	-2.6673245914731756	L2_norm	COSMO	9
42	-2.248655442568738	L2_norm	COSMO	17
43	-2.2219481631683853	L2_norm	COSMO	46
44	-2.0970606726942043	L2_norm	COSMO	19
45	-1.9974358783833992	L2_norm	COSMO	11
46	-1.907484510586586	L2_norm	COSMO	7
47	-1.804848374125434	L2_norm	COSMO	37
48	-1.5917040566247695	L2_norm	COSMO	10
49	-1.5363739361516182	L2_norm	COSMO	39
50	-1.5301815935062073	L2_norm	COSMO	6
51	-1.2933864459523272	L2_norm	COSMO	55
52	-1.2656491165155155	L2_norm	COSMO	2
53	-1.2014333660706835	L2_norm	COSMO	4
54	-1.0317896007298546	L2_norm	COSMO	12
55	-0.23181459569052432	L2_norm	COSMO	29
1	-900.0	L2_norm	OSQP	1
2	-900.0	L2_norm	OSQP	47
3	-900.0	L2_norm	OSQP	52
4	-900.0	L2_norm	OSQP	42
5	-900.0	L2_norm	OSQP	3
6	-900.0	L2_norm	OSQP	20
7	-900.0	L2_norm	OSQP	43
8	-900.0	L2_norm	OSQP	21
9	-2.941261723111039	L2_norm	OSQP	54
10	-900.0	L2_norm	OSQP	48
11	-900.0	L2_norm	OSQP	28
12	-3.6711923642590683	L2_norm	OSQP	33
13	-900.0	L2_norm	OSQP	8
14	-900.0	L2_norm	OSQP	35
15	-900.0	L2_norm	OSQP	13
16	-900.0	L2_norm	OSQP	50
17	-900.0	L2_norm	OSQP	49
18	-900.0	L2_norm	OSQP	27
19	-900.0	L2_norm	OSQP	32
20	-900.0	L2_norm	OSQP	40
21	-900.0	L2_norm	OSQP	18
22	-900.0	L2_norm	OSQP	30
23	-900.0	L2_norm	OSQP	22
24	-900.0	L2_norm	OSQP	25
25	-900.0	L2_norm	OSQP	23
26	-3.3956854165719896	L2_norm	OSQP	53
27	-3.10986407168999	L2_norm	OSQP	45
28	-900.0	L2_norm	OSQP	36
29	-2.7001255947847924	L2_norm	OSQP	41
30	-3.062339849449277	L2_norm	OSQP	51
31	-2.499262281047498	L2_norm	OSQP	26
32	-5.113501597866228	L2_norm	OSQP	5
33	-2.7023421937920076	L2_norm	OSQP	44
34	-3.0919301949831435	L2_norm	OSQP	14
35	-3.3472044251513218	L2_norm	OSQP	16
36	-2.7515501186235922	L2_norm	OSQP	31
37	-2.6682991131205553	L2_norm	OSQP	38
38	-2.7093189004473848	L2_norm	OSQP	24
39	-2.697617592272675	L2_norm	OSQP	15
40	-2.6185706693819393	L2_norm	OSQP	34
41	-2.633145190765755	L2_norm	OSQP	9
42	-2.251462660606263	L2_norm	OSQP	17
43	-2.474386157805803	L2_norm	OSQP	46
44	-2.2254199202917144	L2_norm	OSQP	19
45	-2.1472862561717068	L2_norm	OSQP	11
46	-1.910238330587188	L2_norm	OSQP	7
47	-1.807597319822269	L2_norm	OSQP	37
48	-1.594452412808973	L2_norm	OSQP	10
49	-1.5391081676701148	L2_norm	OSQP	39
50	-1.5329004640375612	L2_norm	OSQP	6
51	-1.2961290711232352	L2_norm	OSQP	55
52	-1.268354684911935	L2_norm	OSQP	2
53	-1.2041972653866713	L2_norm	OSQP	4
54	-1.0345320067093255	L2_norm	OSQP	12
55	-0.234561205783056	L2_norm	OSQP	29
1	-900.0	qp_max_spa	COSMO	1
2	-900.0	qp_max_spa	COSMO	47
3	-900.0	qp_max_spa	COSMO	52
4	-900.0	qp_max_spa	COSMO	42
5	-900.0	qp_max_spa	COSMO	3
6	-900.0	qp_max_spa	COSMO	20
7	-900.0	qp_max_spa	COSMO	43
8	-900.0	qp_max_spa	COSMO	21
9	-5.45985667407678	qp_max_spa	COSMO	54
10	-900.0	qp_max_spa	COSMO	48
11	-900.0	qp_max_spa	COSMO	28
12	-9.486174410681564	qp_max_spa	COSMO	33
13	-900.0	qp_max_spa	COSMO	8
14	-900.0	qp_max_spa	COSMO	35
15	-900.0	qp_max_spa	COSMO	13
16	-900.0	qp_max_spa	COSMO	50
17	-900.0	qp_max_spa	COSMO	49
18	-900.0	qp_max_spa	COSMO	27
19	-900.0	qp_max_spa	COSMO	32
20	-900.0	qp_max_spa	COSMO	40
21	-900.0	qp_max_spa	COSMO	18
22	-900.0	qp_max_spa	COSMO	30
23	-900.0	qp_max_spa	COSMO	22
24	-900.0	qp_max_spa	COSMO	25
25	-900.0	qp_max_spa	COSMO	23
26	-900.0	qp_max_spa	COSMO	53
27	-900.0	qp_max_spa	COSMO	45
28	-3.5162854012166647	qp_max_spa	COSMO	36
29	-900.0	qp_max_spa	COSMO	41
30	-3.8626986323869006	qp_max_spa	COSMO	51
31	-900.0	qp_max_spa	COSMO	26
32	-3.641689817840188	qp_max_spa	COSMO	5
33	-3.39893795110323	qp_max_spa	COSMO	44
34	-3.482978160280226	qp_max_spa	COSMO	14
35	-3.3460667596455282	qp_max_spa	COSMO	16
36	-3.3270113954002505	qp_max_spa	COSMO	31
37	-2.8780779683881095	qp_max_spa	COSMO	38
38	-2.84301743466538	qp_max_spa	COSMO	24
39	-2.8310725106131347	qp_max_spa	COSMO	15
40	-2.6864073888194158	qp_max_spa	COSMO	34
41	-2.6766814839691575	qp_max_spa	COSMO	9
42	-2.2486555532445895	qp_max_spa	COSMO	17
43	-2.2446078068251425	qp_max_spa	COSMO	46
44	-2.0970618859817995	qp_max_spa	COSMO	19
45	-1.9844710151975462	qp_max_spa	COSMO	11
46	-1.9074844340872465	qp_max_spa	COSMO	7
47	-1.8048486790368512	qp_max_spa	COSMO	37
48	-1.5917036305610663	qp_max_spa	COSMO	10
49	-1.5363737134546425	qp_max_spa	COSMO	39
50	-1.5301815810587618	qp_max_spa	COSMO	6
51	-1.2933862859017435	qp_max_spa	COSMO	55
52	-1.2656489495283236	qp_max_spa	COSMO	2
53	-1.201433302586579	qp_max_spa	COSMO	4
54	-1.0317895525207732	qp_max_spa	COSMO	12
55	-0.2318145158881391	qp_max_spa	COSMO	29
1	-900.0	qp_max_spa	OSQP	1
2	-900.0	qp_max_spa	OSQP	47
3	-900.0	qp_max_spa	OSQP	52
4	-900.0	qp_max_spa	OSQP	42
5	-3.905186776313413	qp_max_spa	OSQP	3
6	-900.0	qp_max_spa	OSQP	20
7	-900.0	qp_max_spa	OSQP	43
8	-900.0	qp_max_spa	OSQP	21
9	-3.123969333450749	qp_max_spa	OSQP	54
10	-900.0	qp_max_spa	OSQP	48
11	-900.0	qp_max_spa	OSQP	28
12	-3.4863225733399936	qp_max_spa	OSQP	33
13	-900.0	qp_max_spa	OSQP	8
14	-900.0	qp_max_spa	OSQP	35
15	-900.0	qp_max_spa	OSQP	13
16	-900.0	qp_max_spa	OSQP	50
17	-900.0	qp_max_spa	OSQP	49
18	-900.0	qp_max_spa	OSQP	27
19	-900.0	qp_max_spa	OSQP	32
20	-900.0	qp_max_spa	OSQP	40
21	-900.0	qp_max_spa	OSQP	18
22	-900.0	qp_max_spa	OSQP	30
23	-900.0	qp_max_spa	OSQP	22
24	-4.083524887334638	qp_max_spa	OSQP	25
25	-900.0	qp_max_spa	OSQP	23
26	-900.0	qp_max_spa	OSQP	53
27	-3.592848364163902	qp_max_spa	OSQP	45
28	-3.126337552633361	qp_max_spa	OSQP	36
29	-3.4617225953379744	qp_max_spa	OSQP	41
30	-3.3587703438310914	qp_max_spa	OSQP	51
31	-2.942154953337807	qp_max_spa	OSQP	26
32	-900.0	qp_max_spa	OSQP	5
33	-2.800640622824092	qp_max_spa	OSQP	44
34	-3.3873031259815587	qp_max_spa	OSQP	14
35	-3.347140665947235	qp_max_spa	OSQP	16
36	-2.8574437502924934	qp_max_spa	OSQP	31
37	-2.791465861163694	qp_max_spa	OSQP	38
38	-2.7732099016628653	qp_max_spa	OSQP	24
39	-2.7821595768163028	qp_max_spa	OSQP	15
40	-2.6262509344498137	qp_max_spa	OSQP	34
41	-2.7311690689657095	qp_max_spa	OSQP	9
42	-2.249798994643428	qp_max_spa	OSQP	17
43	-2.486411378259563	qp_max_spa	OSQP	46
44	-2.117474898845873	qp_max_spa	OSQP	19
45	-2.0365739491783943	qp_max_spa	OSQP	11
46	-1.908624364803496	qp_max_spa	OSQP	7
47	-1.805988219766957	qp_max_spa	OSQP	37
48	-1.592843343938201	qp_max_spa	OSQP	10
49	-1.5375120547161911	qp_max_spa	OSQP	39
50	-1.531316862699203	qp_max_spa	OSQP	6
51	-1.2945253082515789	qp_max_spa	OSQP	55
52	-1.2667818569146674	qp_max_spa	OSQP	2
53	-1.2025753428123847	qp_max_spa	OSQP	4
54	-1.0329274727962698	qp_max_spa	OSQP	12
55	-0.2329534133521063	qp_max_spa	OSQP	29
1	-900.0	lp_max_spa	GLPK	1
2	-900.0	lp_max_spa	GLPK	47
3	-3.9595598356318766	lp_max_spa	GLPK	52
4	-900.0	lp_max_spa	GLPK	42
5	-900.0	lp_max_spa	GLPK	3
6	-4.974444467067348	lp_max_spa	GLPK	20
7	-4.98947262828853	lp_max_spa	GLPK	43
8	-5.259565883468516	lp_max_spa	GLPK	21
9	-4.212385778620281	lp_max_spa	GLPK	54
10	-900.0	lp_max_spa	GLPK	48
11	-900.0	lp_max_spa	GLPK	28
12	-900.0	lp_max_spa	GLPK	33
13	-5.137444780837928	lp_max_spa	GLPK	8
14	-3.8946653539024143	lp_max_spa	GLPK	35
15	-5.6096887603401395	lp_max_spa	GLPK	13
16	-3.9052015567912277	lp_max_spa	GLPK	50
17	-900.0	lp_max_spa	GLPK	49
18	-900.0	lp_max_spa	GLPK	27
19	-900.0	lp_max_spa	GLPK	32
20	-4.171985782295692	lp_max_spa	GLPK	40
21	-4.539824885166025	lp_max_spa	GLPK	18
22	-900.0	lp_max_spa	GLPK	30
23	-4.253245388646764	lp_max_spa	GLPK	22
24	-4.286622938484878	lp_max_spa	GLPK	25
25	-4.6030062814816635	lp_max_spa	GLPK	23
26	-900.0	lp_max_spa	GLPK	53
27	-900.0	lp_max_spa	GLPK	45
28	-4.109071734143865	lp_max_spa	GLPK	36
29	-900.0	lp_max_spa	GLPK	41
30	-4.095199335660267	lp_max_spa	GLPK	51
31	-900.0	lp_max_spa	GLPK	26
32	-3.618965237790068	lp_max_spa	GLPK	5
33	-3.9572933550496736	lp_max_spa	GLPK	44
34	-3.4869858100014945	lp_max_spa	GLPK	14
35	-3.3451804582917384	lp_max_spa	GLPK	16
36	-3.0049202308303444	lp_max_spa	GLPK	31
37	-2.9163377916726705	lp_max_spa	GLPK	38
38	-3.000352331108697	lp_max_spa	GLPK	24
39	-2.850852090400239	lp_max_spa	GLPK	15
40	-2.6982186887884314	lp_max_spa	GLPK	34
41	-2.616108429405803	lp_max_spa	GLPK	9
42	-2.2489137661319325	lp_max_spa	GLPK	17
43	-2.233522426564806	lp_max_spa	GLPK	46
44	-2.0970930053113968	lp_max_spa	GLPK	19
45	-1.983888819757931	lp_max_spa	GLPK	11
46	-1.9076964463052641	lp_max_spa	GLPK	7
47	-1.8050560255815011	lp_max_spa	GLPK	37
48	-1.5919093168935539	lp_max_spa	GLPK	10
49	-1.5365682853652516	lp_max_spa	GLPK	39
50	-1.5303637381258237	lp_max_spa	GLPK	6
51	-1.2935866728163643	lp_max_spa	GLPK	55
52	-1.2658180886843284	lp_max_spa	GLPK	2
53	-1.2016504268437416	lp_max_spa	GLPK	4
54	-1.0319881772634576	lp_max_spa	GLPK	12
55	-0.23201716158063154	lp_max_spa	GLPK	29
1	-900.0	lp_max_spa	Gurobi	1
2	-900.0	lp_max_spa	Gurobi	47
3	-900.0	lp_max_spa	Gurobi	52
4	-900.0	lp_max_spa	Gurobi	42
5	-900.0	lp_max_spa	Gurobi	3
6	-900.0	lp_max_spa	Gurobi	20
7	-900.0	lp_max_spa	Gurobi	43
8	-900.0	lp_max_spa	Gurobi	21
9	-900.0	lp_max_spa	Gurobi	54
10	-900.0	lp_max_spa	Gurobi	48
