x	y	class	solver	efm
1	-8.260924606616154	Markov	Markov	47
2	-7.516244957995186	Markov	Markov	1
3	-6.851873847528542	Markov	Markov	52
4	-6.68260315945965	Markov	Markov	3
5	-6.646042736451808	Markov	Markov	28
6	-6.6151303897466365	Markov	Markov	48
7	-5.937923510838682	Markov	Markov	42
8	-5.901363087830841	Markov	Markov	21
9	-5.870450741125668	Markov	Markov	43
10	-5.849733457761314	Markov	Markov	20
11	-5.273552400372038	Markov	Markov	54
12	-5.236991977364197	Markov	Markov	50
13	-5.2060796306590245	Markov	Markov	35
14	-5.14168193815978	Markov	Markov	45
15	-5.067721289295306	Markov	Markov	30
16	-5.036808942590133	Markov	Markov	32
17	-4.88266197024004	Markov	Markov	25
18	-4.681702891532708	Markov	Markov	33
19	-4.6036143299753425	Markov	Markov	13
20	-4.397002289538812	Markov	Markov	53
21	-4.3230416406743375	Markov	Markov	27
22	-4.317115860062564	Markov	Markov	8
23	-4.292129293969165	Markov	Markov	49
24	-4.234851587596969	Markov	Markov	23
25	-4.203939240891796	Markov	Markov	18
26	-4.137982321619072	Markov	Markov	40
27	-3.9935308911011873	Markov	Markov	26
28	-3.92184242771039	Markov	Markov	22
29	-3.7326311790721687	Markov	Markov	44
30	-3.6857677281795858	Markov	Markov	10
31	-3.658670530207694	Markov	Markov	51
32	-3.627758183502521	Markov	Markov	36
33	-3.563360491003277	Markov	Markov	38
34	-3.409213518653184	Markov	Markov	9
35	-3.130165878388486	Markov	Markov	14
36	-3.0668210213683635	Markov	Markov	5
37	-2.927835584002072	Markov	Markov	41
38	-2.885230852754722	Markov	Markov	16
39	-2.818680842382309	Markov	Markov	31
40	-2.73049078930494	Markov	Markov	15
41	-2.664533870032216	Markov	Markov	24
42	-2.520082439514331	Markov	Markov	11
43	-2.4483939761235334	Markov	Markov	34
44	-2.154309731915665	Markov	Markov	46
45	-1.8354824361438942	Markov	Markov	17
46	-1.4543871324152158	Markov	Markov	19
47	-1.366742810628349	Markov	Markov	37
48	-1.2699044868543974	Markov	Markov	2
49	-1.2118018305421865	Markov	Markov	55
50	-1.1199509074760574	Markov	Markov	7
51	-1.0281722170606438	Markov	Markov	39
52	-0.9461200078768849	Markov	Markov	6
53	-0.9049650416035108	Markov	Markov	12
54	-0.7883600884091999	Markov	Markov	4
55	-0.7062219099566845	Markov	Markov	29
1	-900.0	L2_norm	COSMO	47
2	-900.0	L2_norm	COSMO	1
3	-900.0	L2_norm	COSMO	52
4	-900.0	L2_norm	COSMO	3
5	-900.0	L2_norm	COSMO	28
6	-5.185047089305658	L2_norm	COSMO	48
7	-900.0	L2_norm	COSMO	42
8	-900.0	L2_norm	COSMO	21
9	-5.219122422831374	L2_norm	COSMO	43
10	-900.0	L2_norm	COSMO	20
11	-900.0	L2_norm	COSMO	54
12	-900.0	L2_norm	COSMO	50
13	-5.349549826114933	L2_norm	COSMO	35
14	-5.47334885199946	L2_norm	COSMO	45
15	-900.0	L2_norm	COSMO	30
16	-5.336333386880857	L2_norm	COSMO	32
17	-5.386295726476721	L2_norm	COSMO	25
18	-3.8022754295298276	L2_norm	COSMO	33
19	-5.372483532257017	L2_norm	COSMO	13
20	-5.5426389149058535	L2_norm	COSMO	53
21	-900.0	L2_norm	COSMO	27
22	-900.0	L2_norm	COSMO	8
23	-5.385437861050747	L2_norm	COSMO	49
24	-900.0	L2_norm	COSMO	23
25	-5.3700062913246835	L2_norm	COSMO	18
26	-5.44178536935693	L2_norm	COSMO	40
27	-5.593571345962367	L2_norm	COSMO	26
28	-5.667797857906032	L2_norm	COSMO	22
29	-3.5842199601925033	L2_norm	COSMO	44
30	-3.6881427871031716	L2_norm	COSMO	10
31	-3.355735854678522	L2_norm	COSMO	51
32	-5.593373503560434	L2_norm	COSMO	36
33	-3.718456404244948	L2_norm	COSMO	38
34	-3.289221865942543	L2_norm	COSMO	9
35	-3.1203729575125703	L2_norm	COSMO	14
36	-3.144945996344492	L2_norm	COSMO	5
37	-2.727409437907535	L2_norm	COSMO	41
38	-2.8873218068556654	L2_norm	COSMO	16
39	-2.7486122830805293	L2_norm	COSMO	31
40	-2.7025508148395083	L2_norm	COSMO	15
41	-2.6765133883525056	L2_norm	COSMO	24
42	-2.508212736785192	L2_norm	COSMO	11
43	-2.4364175900712204	L2_norm	COSMO	34
44	-2.1582143231990334	L2_norm	COSMO	46
45	-1.8376020820644543	L2_norm	COSMO	17
46	-1.4652748074797903	L2_norm	COSMO	19
47	-1.3223940070775142	L2_norm	COSMO	37
48	-1.2720248946298274	L2_norm	COSMO	2
49	-1.2139246937424784	L2_norm	COSMO	55
50	-1.1220752250313368	L2_norm	COSMO	7
51	-1.0302907578057279	L2_norm	COSMO	39
52	-0.9482417881440314	L2_norm	COSMO	6
53	-0.9070888334322597	L2_norm	COSMO	12
54	-0.790483745548104	L2_norm	COSMO	4
55	-0.7083447992528296	L2_norm	COSMO	29
1	-900.0	L2_norm	OSQP	47
2	-900.0	L2_norm	OSQP	1
3	-900.0	L2_norm	OSQP	52
4	-900.0	L2_norm	OSQP	3
5	-900.0	L2_norm	OSQP	28
6	-900.0	L2_norm	OSQP	48
7	-4.064765168202865	L2_norm	OSQP	42
8	-900.0	L2_norm	OSQP	21
9	-900.0	L2_norm	OSQP	43
10	-900.0	L2_norm	OSQP	20
11	-2.8640411821082687	L2_norm	OSQP	54
12	-900.0	L2_norm	OSQP	50
13	-900.0	L2_norm	OSQP	35
14	-3.1504617142163314	L2_norm	OSQP	45
15	-900.0	L2_norm	OSQP	30
16	-900.0	L2_norm	OSQP	32
17	-900.0	L2_norm	OSQP	25
18	-3.209626798475953	L2_norm	OSQP	33
19	-900.0	L2_norm	OSQP	13
20	-2.832345873221402	L2_norm	OSQP	53
21	-900.0	L2_norm	OSQP	27
22	-900.0	L2_norm	OSQP	8
23	-900.0	L2_norm	OSQP	49
24	-900.0	L2_norm	OSQP	23
25	-900.0	L2_norm	OSQP	18
26	-900.0	L2_norm	OSQP	40
27	-900.0	L2_norm	OSQP	26
28	-900.0	L2_norm	OSQP	22
29	-2.5602579028418844	L2_norm	OSQP	44
30	-3.6948093136469713	L2_norm	OSQP	10
31	-3.0045839348173855	L2_norm	OSQP	51
32	-900.0	L2_norm	OSQP	36
33	-2.6309414610654	L2_norm	OSQP	38
34	-2.7250521940617705	L2_norm	OSQP	9
35	-2.754561271278889	L2_norm	OSQP	14
36	-3.6218680100691607	L2_norm	OSQP	5
37	-1.8503470107837021	L2_norm	OSQP	41
