x,y,class,solver,efm
1,-8.661676257320394,Markov,Markov,1
2,-8.406683819162463,Markov,Markov,47
3,-7.653347592626279,Markov,Markov,52
4,-7.363399449017636,Markov,Markov,42
5,-7.108407010859705,Markov,Markov,3
6,-6.980183072417307,Markov,Markov,20
7,-6.579510104693526,Markov,Markov,43
8,-6.369626678789535,Markov,Markov,21
9,-6.355070784323521,Markov,Markov,54
10,-6.324517666535595,Markov,Markov,48
11,-6.114634240631604,Markov,Markov,28
12,-5.947301140550293,Markov,Markov,33
13,-5.813270756642753,Markov,Markov,8
14,-5.571181439999411,Markov,Markov,35
15,-5.543787272150848,Markov,Markov,13
16,-5.3612980140954205,Markov,Markov,50
17,-5.281233296390768,Markov,Markov,49
18,-5.0713498704867765,Markov,Markov,27
19,-5.026240858232836,Markov,Markov,32
20,-4.9586740007923416,Markov,Markov,40
21,-4.8980169197904395,Markov,Markov,18
22,-4.816357432328846,Markov,Markov,30
23,-4.747180869180399,Markov,Markov,22
24,-4.703681562634411,Markov,Markov,25
25,-4.688133493886448,Markov,Markov,23
26,-4.533973027134156,Markov,Markov,53
27,-4.278980588976224,Markov,Markov,45
28,-4.272904631696654,Markov,Markov,36
29,-4.157824744885533,Markov,Markov,41
30,-4.063021205792662,Markov,Markov,51
31,-4.045232958095474,Markov,Markov,26
32,-3.6552515620194335,Markov,Markov,5
33,-3.525644362440041,Markov,Markov,44
34,-3.4982501945914772,Markov,Markov,14
35,-3.3573596831717145,Markov,Markov,16
36,-3.2356962188313974,Markov,Markov,31
37,-2.980703780673466,Markov,Markov,38
38,-2.913136923232971,Markov,Markov,24
39,-2.8524798422310687,Markov,Markov,15
40,-2.701643791621028,Markov,Markov,34
41,-2.65814448507504,Markov,Markov,9
42,-2.2599867853188145,Markov,Markov,17
43,-2.227367554137283,Markov,Markov,46
44,-2.112287667326163,Markov,Markov,19
45,-1.999695880536103,Markov,Markov,11
46,-1.9188160200158795,Markov,Markov,7
47,-1.8647895114441497,Markov,Markov,37
48,-1.6030386377977577,Markov,Markov,10
49,-1.5477062361319387,Markov,Markov,39
50,-1.541515225086159,Markov,Markov,6
51,-1.304718123054124,Markov,Markov,55
52,-1.2769801634981583,Markov,Markov,2
53,-1.2127649077931826,Markov,Markov,4
54,-1.0431211903262685,Markov,Markov,12
55,-0.24314558944680367,Markov,Markov,29
1,-7.489677799139552,L2_norm,COSMO,1
2,-7.508214652049567,L2_norm,COSMO,47
3,-7.953701307233812,L2_norm,COSMO,52
4,-7.864386153988306,L2_norm,COSMO,42
5,-8.1201711600101,L2_norm,COSMO,3
6,-7.787348723006655,L2_norm,COSMO,20
7,-8.890053818792216,L2_norm,COSMO,43
8,-7.6572137765619575,L2_norm,COSMO,21
9,-7.753207500524879,L2_norm,COSMO,54
10,-Inf,L2_norm,COSMO,48
11,-7.684758348396256,L2_norm,COSMO,28
12,-5.487244729834462,L2_norm,COSMO,33
13,-Inf,L2_norm,COSMO,8
14,-Inf,L2_norm,COSMO,35
15,-Inf,L2_norm,COSMO,13
16,-8.128799093179456,L2_norm,COSMO,50
17,-Inf,L2_norm,COSMO,49
18,-8.23177768547269,L2_norm,COSMO,27
19,-Inf,L2_norm,COSMO,32
20,-Inf,L2_norm,COSMO,40
21,-Inf,L2_norm,COSMO,18
22,-8.344729562155846,L2_norm,COSMO,30
