x	y	class	solver	efm
1	-8.581596110737522	Markov	Markov	47
2	-7.836916462116554	Markov	Markov	1
3	-7.1725453516499105	Markov	Markov	52
4	-7.003274663581019	Markov	Markov	3
5	-6.966714240573178	Markov	Markov	28
6	-6.935801893868005	Markov	Markov	48
7	-6.258595014960051	Markov	Markov	42
8	-6.22203459195221	Markov	Markov	21
9	-6.191122245247037	Markov	Markov	43
10	-6.170404961882682	Markov	Markov	20
11	-5.594223904493407	Markov	Markov	54
12	-5.557663481485566	Markov	Markov	50
13	-5.526751134780394	Markov	Markov	35
14	-5.462353442281149	Markov	Markov	45
15	-5.388392793416674	Markov	Markov	30
16	-5.357480446711501	Markov	Markov	32
17	-5.203333474361409	Markov	Markov	25
18	-5.002374395654076	Markov	Markov	33
19	-4.924285834096711	Markov	Markov	13
20	-4.717673793660181	Markov	Markov	53
21	-4.643713144795706	Markov	Markov	27
22	-4.637787364183932	Markov	Markov	8
23	-4.612800798090533	Markov	Markov	49
24	-4.555523091718338	Markov	Markov	23
25	-4.524610745013165	Markov	Markov	18
26	-4.4586538257404404	Markov	Markov	40
27	-4.314202395222556	Markov	Markov	26
28	-4.242513931831758	Markov	Markov	22
29	-4.053302683193537	Markov	Markov	44
30	-4.006439232300955	Markov	Markov	10
31	-3.9793420343290626	Markov	Markov	51
32	-3.94842968762389	Markov	Markov	36
33	-3.8840319951246456	Markov	Markov	38
34	-3.7298850227745524	Markov	Markov	9
35	-3.4508373825098544	Markov	Markov	14
36	-3.387492525489732	Markov	Markov	5
37	-3.248507088123441	Markov	Markov	41
38	-3.205902356876091	Markov	Markov	16
39	-3.1393523465036774	Markov	Markov	31
40	-3.0511622934263087	Markov	Markov	15
41	-2.9852053741535847	Markov	Markov	24
42	-2.8407539436356997	Markov	Markov	11
43	-2.7690654802449024	Markov	Markov	34
44	-2.4749812360370336	Markov	Markov	46
45	-2.1561539402652627	Markov	Markov	17
46	-1.7750586365365846	Markov	Markov	19
47	-1.6874143147497176	Markov	Markov	37
48	-1.590575990975766	Markov	Markov	2
49	-1.532473334663555	Markov	Markov	55
50	-1.440622411597426	Markov	Markov	7
51	-1.3488437211820123	Markov	Markov	39
52	-1.2667915119982534	Markov	Markov	6
53	-1.2256365457248795	Markov	Markov	12
54	-1.1090315925305687	Markov	Markov	4
55	-1.0268934140780532	Markov	Markov	29
1	-900.0	L2_norm	COSMO	47
2	-900.0	L2_norm	COSMO	1
3	-900.0	L2_norm	COSMO	52
4	-900.0	L2_norm	COSMO	3
5	-900.0	L2_norm	COSMO	28
6	-5.505465681918238	L2_norm	COSMO	48
7	-900.0	L2_norm	COSMO	42
8	-900.0	L2_norm	COSMO	21
9	-5.5395410154439535	L2_norm	COSMO	43
10	-900.0	L2_norm	COSMO	20
11	-900.0	L2_norm	COSMO	54
12	-900.0	L2_norm	COSMO	50
13	-5.669968418727512	L2_norm	COSMO	35
14	-5.79376744461204	L2_norm	COSMO	45
15	-900.0	L2_norm	COSMO	30
16	-5.656751979493437	L2_norm	COSMO	32
17	-5.706714319089301	L2_norm	COSMO	25
18	-4.122694022142407	L2_norm	COSMO	33
19	-5.692902124869597	L2_norm	COSMO	13
20	-5.863057507518433	L2_norm	COSMO	53
21	-900.0	L2_norm	COSMO	27
22	-900.0	L2_norm	COSMO	8
23	-5.705856453663327	L2_norm	COSMO	49
24	-900.0	L2_norm	COSMO	23
25	-5.690424883937263	L2_norm	COSMO	18
26	-5.76220396196951	L2_norm	COSMO	40
27	-5.9139899385749475	L2_norm	COSMO	26
28	-5.988216450518612	L2_norm	COSMO	22
29	-3.9046385528050833	L2_norm	COSMO	44
30	-4.0085613797157515	L2_norm	COSMO	10
31	-3.676154447291102	L2_norm	COSMO	51
32	-5.913792096173014	L2_norm	COSMO	36
33	-4.038874996857528	L2_norm	COSMO	38
34	-3.609640458555123	L2_norm	COSMO	9
35	-3.44079155012515	L2_norm	COSMO	14
36	-3.465364588957072	L2_norm	COSMO	5
37	-3.047828030520115	L2_norm	COSMO	41
38	-3.2077403994682454	L2_norm	COSMO	16
39	-3.0690308756931093	L2_norm	COSMO	31
40	-3.0229694074520883	L2_norm	COSMO	15
41	-2.9969319809650856	L2_norm	COSMO	24
42	-2.828631329397772	L2_norm	COSMO	11
43	-2.7568361826838	L2_norm	COSMO	34
44	-2.4786329158116134	L2_norm	COSMO	46
45	-2.1580206746770343	L2_norm	COSMO	17
46	-1.78569340009237	L2_norm	COSMO	19
47	-1.6428125996900942	L2_norm	COSMO	37
48	-1.5924434872424074	L2_norm	COSMO	2
49	-1.5343432863550583	L2_norm	COSMO	55
50	-1.4424938176439166	L2_norm	COSMO	7
51	-1.3507093504183079	L2_norm	COSMO	39
52	-1.2686603807566113	L2_norm	COSMO	6
53	-1.2275074260448395	L2_norm	COSMO	12
54	-1.110902338160684	L2_norm	COSMO	4
55	-1.0287633918654095	L2_norm	COSMO	29
1	-900.0	L2_norm	OSQP	47
2	-900.0	L2_norm	OSQP	1
3	-900.0	L2_norm	OSQP	52
4	-900.0	L2_norm	OSQP	3
5	-900.0	L2_norm	OSQP	28
6	-900.0	L2_norm	OSQP	48
